Month,Purchase_Name,Purchase_Category,Unit_Price,Purchase_Quantity,Amt_Spent
May-01,Tilapia Fillet,Seafood,405,1 pack,405.00
May-01,Bangus Belly,Seafood,360,1 pack,360.00
May-01,Pork Kasim,Pork,422,1.218 kg,514.00
May-01,Chicken Breast,Poultry,255,1.116 kg,284.58
May-01,Chicken Breast Fillet,Poultry,395,1.244 kg,491.38
May-01,Chicken Leg Quarter,Poultry,255,1.112 kg,283.56
May-01,Ground Pork,Pork,232.76,0.506 kg,232.76
May-01,Ground Pork,Pork,246.56,0.536 kg,246.56
May-01,Ground Pork,Pork,244.72,0.532 kg,244.72
May-01,Thinly Sliced US Beef,Beef,270,1 pack,270.00
May-01,Soft Tofu,Vegetable,90,1 pack,90.00
May-01,Coconut Milk,Grocery,62,1 pack,62.00
May-01,Coconut Milk,Grocery,62,1 pack,62.00
May-01,Spinach Dip,Grocery,264,1 bottle,264.00
May-01,Carrots,Vegetable,71.76,0.378 kg,71.76
May-01,Siomai Wrapper,Grocery,35,1 pack,35.00
May-01,Siomai Wrapper,Grocery,35,1 pack,35.00
May-01,Siomai Wrapper,Grocery,35,1 pack,35.00
May-01,Enoki Mushroom,Vegetable,88,1 pack,88.00
May-01,Enoki Mushroom,Vegetable,88,1 pack,88.00
May-01,Enoki Mushroom,Vegetable,88,1 pack,88.00
May-01,Fresh Mixed Mushroom,Vegetable,130,1 pack,130.00
May-02,Chicken Wings,Poultry,255,2.044 kg,521.22
May-02,Chicken Thigh,Poultry,255,2.08 kg,530.40
May-02,Bangus Belly,Seafood,360,2 packs,720.00
May-02,Pork Kasim,Pork,422,2.148 kg,906.46
May-02,Tilapia Fillet,Seafood,405,1 pack,405.00
June,Chicken Thigh,Poultry, 265, 1.108 kg,293.62
June,Chicken Breast,Poultry, 255, 1.948 kg, 496.74
June,Pork Kasim,Pork, 422, 1.048 kg, 442.26
June,Ground Pork,Pork, 463, 1 pack, 463
June,Shrimp,Seafood, 495, 1 pack, 495
June,Bangus Belly,Seafood,360, 1 pack, 360
June,Bangus Belly,Seafood, 360, 1 pack, 360
June,Tilapia Fillet,Seafood,0.474 kg, 1 pack, 255.96
June,Tilapia Fillet,Seafood, 0.466 kg, 1 pack, 251.64
June,Butter,Grocery, 172, 1 bar, 172
June,Butter,Grocery, 172, 1 bar, 172
June,Flour,Grocery, 49.95, 1 pack, 49.95
June,Flour,Grocery, 49.95, 1 pack, 49.95
June,Sugar,Grocery, 106, 1 pack, 106
June,Tomato,Vegetable, 0.276 kg, 1 pack, 34.50
June,Eggs,Dairy, 300, 1 tray, 300
July,Shrimp,Seafood, 845, 1 pack, 845
July,Bangus Belly,Seafood, 360, 1 pack, 360
July,Bangus Belly,Seafood, 360, 1 pack, 360
July,Bangus,Seafood, 345, 1 pack, 345
July,Pork Kasim,Pork, 422, 1.044 kg, 440.57
July,Pork Kasim,Pork, 422, 1.122 kg, 473.48
July,Chicken Thigh,Poultry, 265, 1.046 kg, 277.19
July,Liempo,Pork, 324.88, 0.574 kg, 324.88
July,Chicken Breast,Poultry, 255, 1.518 kg, 387.09
July,Cream Dory,Seafood,299,2 packs,598.00
July,Ground Pork,Pork,463,1.016kg,470.41
